pqsvc_filename,pqsvc_training_size,pqsvc_actual_buggy,pqsvc_actual_clean,pqsvc_clf_model,pqsvc_pred_buggy,pqsvc_pred_clean,pqsvc_correct_total,pqsvc_correct_buggy,pqsvc_correct_clean,pqsvc_precision,pqsvc_recall,pqsvc_fscore,pqsvc_exe_time,qsvc_filename,qsvc_training_size,qsvc_actual_buggy,qsvc_actual_clean,qsvc_clf_model,qsvc_pred_buggy,qsvc_pred_clean,qsvc_correct_total,qsvc_correct_buggy,qsvc_correct_clean,qsvc_precision,qsvc_recall,qsvc_fscore,qsvc_exe_time,vqc_filename,vqc_training_size,vqc_actual_buggy,vqc_actual_clean,vqc_clf_model,vqc_pred_buggy,vqc_pred_clean,vqc_correct_total,vqc_correct_buggy,vqc_correct_clean,vqc_precision,vqc_recall,vqc_fscore,vqc_exe_time,svc_filename,svc_training_size,svc_actual_buggy,svc_actual_clean,svc_clf_model,svc_pred_buggy,svc_pred_clean,svc_correct_total,svc_correct_buggy,svc_correct_clean,svc_precision,svc_recall,svc_fscore,svc_exe_time
pcorr_25_ambari_max32.csv,46,11,11,pqsvc,8,14,17,7,10,0.88,0.64,0.74,57.3,pcorr_25_ambari_max32.csv,46,11,11,qsvc,8,14,17,7,10,0.88,0.64,0.74,1385.47,pcorr_25_ambari_max32.csv,46,11,11,vqc,2,20,13,2,11,1,0.18,0.31,55.03,pcorr_25_ambari_max32.csv,46,11,11,svc,5,17,16,5,11,1,0.45,0.62,0.03
pcorr_25_oozie_max32.csv,64,14,14,pqsvc,9,19,21,8,13,0.89,0.57,0.7,374.39,pcorr_25_oozie_max32.csv,64,14,14,qsvc,20,8,18,12,6,0.6,0.86,0.71,4114,pcorr_25_oozie_max32.csv,64,14,14,vqc,11,17,17,7,10,0.64,0.5,0.56,74.64,pcorr_25_oozie_max32.csv,64,14,14,svc,4,24,18,4,14,1,0.29,0.44,0.02
pcorr_25_accumulo_max32.csv,70,16,16,pqsvc,29,3,19,16,3,0.55,1,0.71,159.57,pcorr_25_accumulo_max32.csv,70,16,16,qsvc,14,18,26,12,14,0.86,0.75,0.8,3473.41,pcorr_25_accumulo_max32.csv,70,16,16,vqc,9,23,23,8,15,0.89,0.5,0.64,104.13,pcorr_25_accumulo_max32.csv,70,16,16,svc,11,21,23,9,14,0.82,0.56,0.67,0.01
pcorr_25_hadoop_max32.csv,70,16,16,pqsvc,11,21,19,7,12,0.64,0.44,0.52,838.89,pcorr_25_hadoop_max32.csv,70,16,16,qsvc,25,7,23,16,7,0.64,1,0.78,8399.02,pcorr_25_hadoop_max32.csv,70,16,16,vqc,12,20,14,5,9,0.42,0.31,0.36,107.07,pcorr_25_hadoop_max32.csv,70,16,16,svc,10,22,24,9,15,0.9,0.56,0.69,0.03
pcorr_25_jackrabbit_max32.csv,80,18,18,pqsvc,8,28,26,8,18,1,0.44,0.62,7.01,pcorr_25_jackrabbit_max32.csv,80,18,18,qsvc,8,28,26,8,18,1,0.44,0.62,43.54,pcorr_25_jackrabbit_max32.csv,80,18,18,vqc,8,28,26,8,18,1,0.44,0.62,63.31,pcorr_25_jackrabbit_max32.csv,80,18,18,svc,8,28,26,8,18,1,0.44,0.62,0.02
gs_scg_accumulo_max32.csv,140,30,30,pqsvc,19,41,33,11,22,0.58,0.37,0.45,1665.06,gs_scg_accumulo_max32.csv,140,30,30,qsvc,37,23,45,26,19,0.7,0.87,0.78,39555.32,gs_scg_accumulo_max32.csv,140,30,30,vqc,13,47,31,7,24,0.54,0.23,0.33,213.29,gs_scg_accumulo_max32.csv,140,30,30,svc,39,21,43,26,17,0.67,0.87,0.75,0.03
gs_scg_lucene_max32.csv,144,31,31,pqsvc,50,12,37,28,9,0.56,0.9,0.69,3144.25,gs_scg_lucene_max32.csv,144,31,31,qsvc,47,15,40,28,12,0.6,0.9,0.72,66975.34,gs_scg_lucene_max32.csv,144,31,31,vqc,32,30,35,18,17,0.56,0.58,0.57,187.25,gs_scg_lucene_max32.csv,144,31,31,svc,28,34,39,18,21,0.64,0.58,0.61,0.03
pcorr_25_lucene_max32.csv,182,40,40,pqsvc,24,56,48,16,32,0.67,0.4,0.5,1385.04,pcorr_25_lucene_max32.csv,182,40,40,qsvc,46,34,70,38,32,0.83,0.95,0.88,43810.84,pcorr_25_lucene_max32.csv,182,40,40,vqc,37,43,49,23,26,0.62,0.57,0.6,223.67,pcorr_25_lucene_max32.csv,182,40,40,svc,18,62,52,15,37,0.83,0.38,0.52,0.03
qt_gs_ts_pcorr_max32.csv,188,41,41,pqsvc,34,48,49,21,28,0.62,0.51,0.56,1822.74,qt_gs_ts_pcorr_max32.csv,188,41,41,qsvc,71,11,46,38,8,0.54,0.93,0.68,67898.15,qt_gs_ts_pcorr_max32.csv,188,41,41,vqc,34,48,45,19,26,0.56,0.46,0.51,225.52,qt_gs_ts_pcorr_max32.csv,188,41,41,svc,25,57,56,20,36,0.8,0.49,0.61,0.03
gs_scg_ambari_max32.csv,196,43,43,pqsvc,71,15,54,41,13,0.58,0.95,0.72,1993.49,gs_scg_ambari_max32.csv,196,43,43,qsvc,53,33,70,40,30,0.75,0.93,0.83,72382.1,gs_scg_ambari_max32.csv,196,43,43,vqc,36,50,51,22,29,0.61,0.51,0.56,235.79,gs_scg_ambari_max32.csv,196,43,43,svc,42,44,59,29,30,0.69,0.67,0.68,0.03
gs_scg_oozie_max32.csv,216,47,47,pqsvc,38,56,63,27,36,0.71,0.57,0.64,4162.99,gs_scg_oozie_max32.csv,216,47,47,qsvc,81,13,60,47,13,0.58,1,0.73,147907.52,gs_scg_oozie_max32.csv,216,47,47,vqc,31,63,44,14,30,0.45,0.3,0.36,257.75,gs_scg_oozie_max32.csv,216,47,47,svc,41,53,72,33,39,0.8,0.7,0.75,0.03
gs_scg_jenkins_max32.csv,218,48,48,pqsvc,25,71,59,18,41,0.72,0.38,0.49,3610.15,gs_scg_jenkins_max32.csv,218,48,48,qsvc,65,31,71,44,27,0.68,0.92,0.78,119151.34,gs_scg_jenkins_max32.csv,218,48,48,vqc,33,63,55,20,35,0.61,0.42,0.49,259.57,gs_scg_jenkins_max32.csv,218,48,48,svc,42,54,72,33,39,0.79,0.69,0.73,0.04
gs_scg_tomcat_max32.csv,226,49,49,pqsvc,34,64,61,23,38,0.68,0.47,0.55,1961.32,gs_scg_tomcat_max32.csv,226,49,49,qsvc,63,35,66,40,26,0.63,0.82,0.71,92894.38,gs_scg_tomcat_max32.csv,226,49,49,vqc,35,63,64,25,39,0.71,0.51,0.6,264.09,gs_scg_tomcat_max32.csv,226,49,49,svc,60,38,65,38,27,0.63,0.78,0.7,0.03
gs_scg_zxing_max32.csv,246,54,54,pqsvc,88,20,68,51,17,0.58,0.94,0.72,2845.19,gs_scg_zxing_max32.csv,246,54,54,qsvc,77,31,75,49,26,0.64,0.91,0.75,117702.29,gs_scg_zxing_max32.csv,246,54,54,vqc,45,63,63,27,36,0.6,0.5,0.55,288.91,gs_scg_zxing_max32.csv,246,54,54,svc,52,56,78,38,40,0.73,0.7,0.72,0.04
gs_scg_mongo_max32.csv,250,55,55,pqsvc,50,60,75,35,40,0.7,0.64,0.67,3390.97,gs_scg_mongo_max32.csv,250,55,55,qsvc,35,75,72,26,46,0.74,0.47,0.58,140940.77,gs_scg_mongo_max32.csv,250,55,55,vqc,50,60,77,36,41,0.72,0.65,0.69,293.86,gs_scg_mongo_max32.csv,250,55,55,svc,58,52,83,43,40,0.74,0.78,0.76,0.03
gs_scg_litecoin_max32.csv,274,60,60,pqsvc,52,68,78,35,43,0.67,0.58,0.63,2924.92,gs_scg_litecoin_max32.csv,274,60,60,qsvc,85,35,85,55,30,0.65,0.92,0.76,140535.64,gs_scg_litecoin_max32.csv,274,60,60,vqc,52,68,84,38,46,0.73,0.63,0.68,317.73,gs_scg_litecoin_max32.csv,274,60,60,svc,67,53,91,49,42,0.73,0.82,0.77,0.03
gs_scg_bitcoin_max32.csv,288,62,62,pqsvc,54,70,70,31,39,0.57,0.5,0.53,3091.27,gs_scg_bitcoin_max32.csv,288,62,62,qsvc,102,22,84,62,22,0.61,1,0.76,154531.9,gs_scg_bitcoin_max32.csv,288,62,62,vqc,66,58,74,39,35,0.59,0.63,0.61,334.89,gs_scg_bitcoin_max32.csv,288,62,62,svc,60,64,96,47,49,0.78,0.76,0.77,0.03
gs_scg_jackrabbit_max32.csv,318,69,69,pqsvc,101,37,104,68,36,0.67,0.99,0.8,2470.88,gs_scg_jackrabbit_max32.csv,318,69,69,qsvc,91,47,114,68,46,0.75,0.99,0.85,174115.46,gs_scg_jackrabbit_max32.csv,318,69,69,vqc,69,69,100,50,50,0.72,0.72,0.72,365.06,gs_scg_jackrabbit_max32.csv,318,69,69,svc,74,64,103,54,49,0.73,0.78,0.76,0.02
os_gs_ts_pcorr_max32.csv,460,99,99,pqsvc,94,104,101,48,53,0.51,0.48,0.5,2828.61,os_gs_ts_pcorr_max32.csv,460,99,99,qsvc,131,67,166,99,67,0.76,1,0.86,234528.32,os_gs_ts_pcorr_max32.csv,460,99,99,vqc,110,88,119,65,54,0.59,0.66,0.62,527.97,os_gs_ts_pcorr_max32.csv,460,99,99,svc,63,135,116,40,76,0.63,0.4,0.49,0.04
gs_scg_camel_max32.csv,476,103,103,pqsvc,111,95,128,68,60,0.61,0.66,0.64,6289.76,gs_scg_camel_max32.csv,476,103,103,qsvc,138,68,171,103,68,0.75,1,0.85,386494.18,gs_scg_camel_max32.csv,476,103,103,vqc,101,105,128,63,65,0.62,0.61,0.62,544.08,gs_scg_camel_max32.csv,476,103,103,svc,110,96,167,87,80,0.79,0.84,0.82,0.04
