commit_hash,contains_bug,function type name,pattern_id_126,pattern_id_131
c847a278af665f9c931ae4a756cee079799d5d2e,1,0,2,2
65e4aae32c772409164415aecf3d5c9a177e030c,1,0,0,0
b194534a19f210933237df127bc9b8fb3315d787,1,1,7,7
9c90fd5c4c971664fc78656791946f0e8eef37f0,1,0,1,1
d33e5ce118497eff8b1bdd9ad5edc8ee866bd7ba,1,1,1,1
4d967c83e616cafd3db8302f2727802732f55371,1,0,0,0
96542ee5ac1cc253ded14254791712efdeea637e,1,0,0,0
85be64445de287f7e93256449ee1aec3bc8a67e1,1,0,0,0
5f0485ced554bad6e7da05da0dfb62deb59d6117,0,0,0,0
fe2cb1763ae7e212307edeb5bf38f243734062a0,0,0,0,0
9933371ac82dab9e36964942e70f2889c08788a2,1,0,3,2
8ff11accaa0276d1006f8a6769dcf6eb7c6c58b3,0,0,0,0
5d70856087220c44d9bd9d8dfc0a2a8be3303599,1,0,0,0
cbf563901faef53706d4fa0e4bbf657598351483,1,5,3,3
2fc7e19faa7cac6c46dce7d67cb95d1d902c7e1c,1,0,0,0
93b807537cd8c3e144d17d271de27d5eb2f89cb5,1,0,0,0
84ec4222e1dbd12f35625f33aa706f7478f37711,1,0,0,0
49f2e452312404f85d67b2cf33decf56ec05f633,0,0,0,0
64c739f4f1277064e1bad1ab1200248a1402c6a6,0,0,0,0
a5cad8bd20e9069739aa70d523ee280f55b577b5,0,0,0,0
e903da2ca8f8635de1526e82bb5e1156204620c6,1,4,2,1
bff7f1d1d0d42b76e23427de758ee505b509dc6b,1,1,2,2
818cb101757d45853ba53a428c4b60d72d30a03b,1,0,0,0
682b2cea472aa21820b62dfa9b10d81ffa38bd32,1,0,0,0
5801842a5cd9ac9f9b533ddbc97c7bfa658d4c25,1,0,1,1
6aa1d34ba7210a35b803845288404394fe18d17b,1,0,0,0
c10fd21b4f38eca0d655080836f4e5cd8132e3f0,0,0,0,0
79d79a9ed6c1a9887a761ecdbf1c0e4b7b6c9fd6,1,0,0,0
dbac11d37dfb2ad8edd80b1be0444341ce34a591,1,1,0,0
d4ce93343853f73955509cf7a6314aed3d99be6a,1,0,0,0
655cdaf2733a0446ad7e0a58d4ada74d308294ab,1,0,0,0
e4724ee78c6e0b5c50108f0c0b88c6091cc16a58,1,0,0,0
562787a8021ffbad91114bc3134ba676157b83de,1,0,0,0
86aec07d7d8581c9c05642c52a00250708a06466,0,0,0,0
5246817b844b6770e0be03b4586ffff607112bd6,0,0,0,0
080a945fd2a3780e9ffb7250606ba9c569c1a6db,1,0,2,2
8e3f3adc81a7320d92eef70eb9135d68217eeed1,0,0,0,0
90cb3942db8416fa3c3ebf13b576cc7a6ed44af6,0,0,0,0
e53b2b46eea1a1d8e74f34db5c5a9c6da8b0acfe,0,0,0,0
6c27dbc86a3caf7bd1122a106a7e2d54307b00de,0,0,1,1
cfca915908a449f7c79d6bd85742d3c662513d3a,1,1,1,1
a0f7e8c390bf599f67b7ce84e03de412f6bf053d,0,0,0,0
a8e4aaaa46718db37ac0ae862b527a918b11835c,1,3,0,0
ad78897a9f86674a0c162fbf9a56fee1e52e661d,1,0,0,0
f2e0df04d4fec7ac178384e609d1614ecafa075a,0,0,0,0
67f8d5fc4b115f9cfeffc7ea8b8b623e75fb24a3,0,0,0,0
faddd2e6e957d1c2303381d4ec1d08b6434209ab,0,0,0,0
57af874d3617dd73a4de96ce3151117a8c6b7c54,1,0,0,0
546fe0d4eecbffd2a2f758e96cbad10b68080976,1,0,0,0
991a0b8b2e65b7fcfdf1a8c1a03fd68c19b32866,0,0,0,0
586d95622fa90c6b91e59485ced8208003028edc,1,1,1,2
29dee650446c6f8f05e70e0ed00b8ad389d85670,1,0,0,0
10e0a6242a1ca4526fdb533150a8b7f78fa971e4,1,1,5,4
026e0ea05f8d7399d1c15dcfc9be0b823d85b60c,0,1,2,2
84bffdac2230a14dcf51acfc77315b03f4890804,0,0,0,0
3d9f464ecd343326e34181d8b72af330bcb17b1b,0,0,1,1
cefb2db2df9e4e07baa383e5350b325f8c75735c,0,0,0,0
893e5b5574a8bad9052be285e3590fee486f636e,0,0,0,0
1cf1f0305eb4e313b61cf11b70a5697fbd4e1d8b,0,0,0,0
7cefcc61bee24677888e49fe00d5a4982a969e3b,0,0,0,0
6475aa5219381162bfe175cb31f4092c78a21b83,1,0,1,1
606069f50f4f41f741e9dd94ccec9c2f1d03722b,1,1,1,1
1da3c12b6bc4adc8c8a704d1cf7791f3d30064cb,1,0,1,1
6a4e7934d7e711d216122590f18d4f7c2c86eb7b,1,0,0,0
88b1ed849256d2300f52a79f41bf9385956e41b7,1,0,0,0
7bab386783ff590c685d03089b55f5a38797106c,1,1,1,1
595ce145def7c72181e50dd78780540e1bb9f0d0,1,1,1,1
accf4600511a63f7b0d6559b8e24ee40912c9341,1,0,0,0
c5c7bd1bde42c364b59df276e20d92300067b6e5,1,0,2,2
ffc6210b921faa28879d626b0e2c0444fc4b9888,1,1,4,4
efdbae3c127ba3fe48fad8bd03d10f5a47ff3acf,1,0,0,0
2c038866b1371dca26c513625d22c3c01e251bfb,0,0,0,0
01527d4f4e980fa35230183287f64c3bb0c15bf2,0,0,0,0
ff9b8ddba04cef748d22fadcdbfa6ab9fc0ac582,1,0,0,0
87b6fd006c54a26eca526d3afa66c339e2a60829,0,0,0,0
9238a10c800d0f727c8b1121f929d31271adc61f,0,0,0,0
34cf0184403de0a29720ea4127bdb83b96996a01,1,0,0,0
6e98f5b30eb1bcfba0973cb2a87c7b2c6d91cacc,0,0,0,0
61b4cab9ef4ab212dcceab2ccda7c0fb3242f87a,1,0,2,2
ca6206418ea0ac7f9119df33b8e5f02afce16de2,0,0,0,0
88d8932cc4a74f5bbc2512d36d6b556081f0876e,0,0,3,3
a5fedd9dc16f3f024257b36048f5d850669ed6dd,1,1,1,1
2cd26dea24f4a5a5c78aa4badd07ee8b3e35b36a,1,0,0,0
082f8388edda4f99ca74ac299379012fee29f48b,0,0,0,0
aff4f1835d3b4c60485537dd47516980529661cf,1,0,0,0
0bc2d85303dd1a065c2639bf245588316ccbb11d,0,0,0,0
e7d1b679b3c6f3df94ae7789207370e95d5dd403,1,0,0,0
8393c6daea536b8aca22010c135f7f53515ce74a,0,0,0,0
139dfbacfa26078f2687fd58395d63633d4fccc0,1,0,0,0
a07fe82df90ebc16519e0091811bb22880fc9a22,1,0,0,0
b600b4129673d4e906dd0376c053ccdf6bed20be,0,0,0,0
e3d9ab2042dfd0c59dd53263da307427223f8f1a,1,1,1,1
53a97703223095343c727e89f9d97b203268ddca,1,1,1,1
283df6f101676579086400e30e8dd42eacd5ef33,0,1,1,1
09393f93862923e4c8a2f8c7d1236e1a5d3373b5,0,0,0,0
7065e86a9b584baa722828e0b01d40dde021a490,0,0,0,0
c3784a4fec6ac43759496885566b162d6c4a88bd,1,0,0,0
6438f47cec47b484c8679f061208f60adc029f47,0,0,0,0
a0440222748b687f0a747d49b331d88cb05ab213,0,0,0,0
